1997	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jan	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
26	18	16	14	12	11	10	88	75	59	1018	1014	1010	10	10	10	29	19	43	0.00	Rain
27	24	18	12	14	12	10	88	69	47	1019	1017	1017	10	10	10	32	14	-	0.00	 
28	22	17	13	13	9	7	82	61	41	1023	1022	1019	10	10	10	18	11	32	0.00	 
29	23	17	12	12	9	8	88	62	38	1023	1021	1020	10	10	10	14	5	-	0.00	 
30	25	18	11	12	9	6	88	57	31	1022	1020	1018	10	10	10	11	6	-	0.00	 
31	22	17	12	15	11	9	88	74	46	1018	1014	1012	10	9	5	26	13	43	0.00	Rain
1997	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Aug	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	17	13	11	11	9	8	88	80	59	1015	1013	1012	10	10	10	26	16	-	0.00	Rain , Thunderstorm
2	21	16	12	11	11	9	88	72	49	1019	1017	1015	10	10	10	11	8	-	0.00	 
3	24	17	11	13	11	7	94	67	36	1020	1019	1019	10	9	5	14	8	-	0.00	 
4	24	18	12	14	12	10	88	68	41	1020	1019	1019	10	10	10	21	8	-	0.00	Rain
5	24	18	13	16	12	10	94	69	46	1019	1018	1018	10	10	10	21	11	-	0.00	 
6	22	16	11	12	11	9	88	67	46	1019	1018	1017	10	10	10	21	8	-	0.00	 
7	24	17	11	14	12	9	88	68	44	1018	1018	1017	10	10	10	14	6	-	0.00	 
8	25	19	14	15	13	11	88	68	41	1020	1019	1018	10	9	8	18	8	-	0.00	Rain , Thunderstorm
9	24	19	14	15	13	11	94	70	47	1022	1021	1020	10	9	5	29	6	-	0.00	Fog , Rain , Thunderstorm
10	25	18	12	14	11	8	94	62	36	1024	1023	1022	10	10	10	18	6	-	0.00	 
11	26	18	11	13	11	8	88	59	32	1024	1024	1023	-	-	-	26	11	40	0.00	 
12	26	19	12	12	10	9	82	58	34	1026	1025	1024	-	-	-	21	11	-	0.00	 
13	28	20	13	13	11	8	82	53	32	1025	1024	1022	10	10	10	11	6	-	0.00	 
14	29	21	14	13	11	9	82	53	29	1023	1021	1018	-	-	-	14	8	-	0.00	 
15	25	20	15	16	13	11	88	69	44	1020	1019	1019	10	10	8	21	11	-	0.00	Rain , Thunderstorm
16	25	19	14	15	13	11	88	68	44	1022	1021	1020	10	9	7	18	8	-	0.00	 
17	23	18	14	12	9	7	82	59	38	1022	1021	1020	10	10	10	18	10	-	0.00	 
18	20	16	11	14	11	8	88	73	59	1021	1020	1019	10	10	5	11	6	-	0.00	Rain
19	19	17	15	17	14	11	94	87	72	1021	1020	1020	10	6	1	18	8	-	0.00	Fog , Rain
20	26	20	15	18	14	10	100	75	39	1022	1021	1020	10	4	0	21	6	-	0.00	Fog
21	27	19	12	15	13	10	94	65	39	1022	1022	1021	10	9	7	18	8	-	0.00	 
22	27	20	14	15	13	11	82	61	39	1023	1022	1020	10	10	9	11	8	-	0.00	 
23	25	20	15	17	15	12	94	73	44	1020	1020	1019	-	-	-	14	10	-	0.00	 
24	28	22	16	17	16	14	94	70	42	1019	1018	1017	10	9	6	14	8	-	0.00	Thunderstorm
25	28	21	15	18	16	13	100	72	48	1017	1014	1011	10	7	4	14	8	-	0.00	 
26	27	20	14	14	12	10	88	59	34	1012	1011	1010	8	8	7	18	10	-	0.00	 
27	28	20	13	15	12	10	88	60	37	1011	1010	1008	-	-	-	11	5	21	0.00	 
28	28	20	13	15	13	11	88	61	37	1008	1005	1002	10	9	8	32	8	32	0.00	 
29	18	14	12	13	12	11	100	89	68	1014	1010	1005	10	10	10	32	23	50	0.00	Rain
30	20	16	12	11	9	8	94	71	46	1018	1016	1014	10	10	10	29	21	-	0.00	Rain
